CHANNEL_REFERENCE_ID;SOCIAL_COMMERCIAL;STRATEGIC_CHANNEL;GLOBAL_CHANNEL;GLOBAL_SUBCHANNEL;CREATED_AT;UPDATED_AT
-1;Unknown;;Unknown;Unknown;3/27/2017 0:00;3/27/2017 0:00
-2;Unreferenced;;Unreferenced;Unreferenced;3/27/2017 0:00;3/27/2017 0:00
1;Commercial;;Hotels;All Inclusive Tourist Hotels;3/27/2017 0:00;3/27/2017 0:00
2;Commercial;;Bakeries;Bakeries;3/27/2017 0:00;3/27/2017 0:00
3;Commercial;;Hotels;Bed & Breakfasts;3/27/2017 0:00;3/27/2017 0:00
4;Commercial;;Hotels;Business City Hotels;3/27/2017 0:00;3/27/2017 0:00
5;Commercial;;Hotels;Family Hotels With Restaurants;3/27/2017 0:00;3/27/2017 0:00
6;Commercial;;Restaurants;Full Service Restaurants;3/27/2017 0:00;3/27/2017 0:00
7;Commercial;;Quick Service Restaurants;International Quick Service Chains;3/27/2017 0:00;3/27/2017 0:00
8;Commercial;;Local Eateries;Local Eateries;3/27/2017 0:00;3/27/2017 0:00
9;Commercial;;Quick Service Restaurants;Local Quick Service Restaurants With Local Cuisines;3/27/2017 0:00;3/27/2017 0:00
10;Commercial;;Party Events & Caterings;Party Events & Caterings;3/27/2017 0:00;3/27/2017 0:00
11;Commercial;;Pubs & Bars;Pubs & Bars;3/27/2017 0:00;3/27/2017 0:00
12;Commercial;;Restaurants;Self Service, Buffet, Counter & Kilo Restaurants;3/27/2017 0:00;3/27/2017 0:00
13;Commercial;;Sports & Leisure;Sports & Leisure;3/27/2017 0:00;3/27/2017 0:00
14;Commercial;;Take-Aways;Take-Aways;3/27/2017 0:00;3/27/2017 0:00
15;Commercial;;Travel;Travel;3/27/2017 0:00;3/27/2017 0:00
16;Commercial;;Wholesalers;Wholesalers;3/27/2017 0:00;3/27/2017 0:00
17;Commercial;;Workplace Canteens;Workplace Canteens;3/27/2017 0:00;3/27/2017 0:00
18;Social;;Education;Education;3/27/2017 0:00;3/27/2017 0:00
19;Social;;Elderly homes;Elderly Homes;3/27/2017 0:00;3/27/2017 0:00
20;Social;;Hospitals & Clinics;Hospitals & Clinics;3/27/2017 0:00;3/27/2017 0:00
21;Social;;Other Institutions;Other Institutions;3/27/2017 0:00;3/27/2017 0:00
22;Tea CO;;Coffee & Tea Shops;Coffee & Tea Shops;3/27/2017 0:00;3/27/2017 0:00
23;Tea CO;;Offices;Offices;3/27/2017 0:00;3/27/2017 0:00
